中证500T-1日上影线和下影线长度之和,中证500指数2点前最长游程幅度,中证500指数2点前游程数量,中证500偏离度与45-450股票开盘偏离度之差,T-1日振幅,T-1日涨跌幅,T日2点前振幅,T日2点前涨跌幅,T-1日成交量与T-2日成交量之比,上证指数开盘幅度,中证500与上证指数开盘幅度之差,中证500指数13点至14点间振幅,沪深300指数13点至14点间振幅,状态
22,0.009999907,25,0.021112115,0.018622583,0.011833474,0.013331023,0.008065013,1.21606512,-0.00209639,0.000508721,0.005574235,0.004021658,2
42.04,0.007555347,25,0.018805906,0.016729221,0.003982828,0.011423572,0.002338716,0.98005476,-0.000420378,0.0004519,0.006955817,0.007872004,1
16.81,0.007134528,34,0.046297121,0.011432673,0.006374641,0.019511428,-0.018302457,0.940593114,0.000682122,-0.000336281,0.011811194,0.009500575,2
11.29,0.005890485,26,0.016095543,0.029906554,-0.0257009,0.034318405,0.031766368,1.070948582,-0.002902576,0.000842458,0.006531922,0.008121426,1
4.33,0.006780028,23,0.001648571,0.038291899,0.036946831,0.017792324,0.017104577,1.106289264,0.000313887,0.001332791,0.007533411,0.004992926,1
13.13,0.006988986,27,0.021911043,0.021676923,0.017800627,0.020260896,-0.009488808,1.222291137,-0.001524139,0.000818021,0.014945199,0.017809491,2
66.6,0.005426536,33,0.044860388,0.020296372,0.000661199,0.01543357,-0.007159297,0.906867754,-0.001908171,0.000122924,0.009130149,0.009768258,2
16.26,0.006356556,28,0.028182563,0.015504492,-0.01058218,0.017574567,0.01328287,0.753722543,0.004704217,-0.002296852,0.00976709,0.013428551,0
11.73,0.007308479,31,0.01120956,0.017592321,0.014108212,0.009621592,0.002333716,1.078098234,0.001898446,0.001137459,0.004740718,0.005281276,0
17.43,0.007673155,31,0.0461207,0.009641877,0.004581031,0.011787303,-0.009918106,1.052249483,-0.000747255,-0.000273809,0.007005526,0.007186532,2
25.59,0.007188465,31,0.045748916,0.022795791,-0.014950238,0.017114466,-0.007721819,0.99413622,-0.002852329,-0.00082569,0.005891469,0.005790861,2
39.23,0.012138346,28,0.053412002,0.017155656,0.005545216,0.029141966,-0.01767557,0.810810377,-0.00028229,0.000532841,0.006801863,0.005495113,2
56.11,0.006386549,30,0.057529219,0.038565253,-0.021172828,0.010865691,0.002161496,1.318690826,-0.001134727,-0.000740428,0.004827426,0.004274766,0
35.9,0.006619823,31,0.005065422,0.01091673,0.000187309,0.021109476,0.020939938,0.648871106,0.001725975,-0.002240199,0.004402659,0.004671463,1
